timestamp,memory.used,memory.free,index,utilization.gpu,utilization.memory,gpu_name,memory.total
"2022/10/21 15:03:19.989""",429,15771,0,73,51,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:03:20.337""",429,15771,0,0,5,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:03:20.691""",429,15771,0,4,6,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:03:21.038""",429,15771,0,0,4,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:03:21.392""",429,15771,0,0,4,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:03:21.740""",429,15771,0,0,5,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:03:22.116""",429,15771,0,10,7,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:03:22.474""",785,15415,0,6,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:03:22.841""",969,15231,0,6,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:03:23.205""",1147,15053,0,8,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:03:23.570""",1321,14879,0,6,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:03:23.924""",1503,14697,0,6,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:03:24.281""",1645,14555,0,24,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:03:24.654""",1787,14413,0,24,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:03:25.006""",1965,14235,0,20,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:03:25.361""",2049,14151,0,8,2,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:03:25.707""",429,15771,0,2,0,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:03:26.069""",429,15771,0,3,0,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:03:26.414""",429,15771,0,4,3,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:03:26.771""",429,15771,0,0,2,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:03:27.138""",429,15771,0,0,3,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:03:27.504""",429,15771,0,0,3,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:03:27.864""",429,15771,0,0,5,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:03:28.227""",429,15771,0,6,6,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:03:28.590""",429,15771,0,0,5,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:03:28.955""",439,15761,0,5,6,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:03:29.319""",863,15337,0,13,1,NVIDIA RTX A5000 Laptop GPU,16384
"2022/10/21 15:03:29.677""",863,15337,0,14,1,NVIDIA RTX A5000 Laptop GPU,16384
